咪咕央视,#genre#
CCTV-5+体育赛事,http://zhouzhiyong.x3322.net:4111/udp/239.76.254.215:9000
CCTV-6电影,http://zhouzhiyong.x3322.net:4111/udp/239.76.253.156:9000
CCTV-7国防军事,http://zhouzhiyong.x3322.net:4111/udp/239.76.253.157:9000
CCTV-8电视剧,http://zhouzhiyong.x3322.net:4111/udp/239.76.253.158:9000
CCTV-9纪录,http://zhouzhiyong.x3322.net:4111/udp/239.76.253.159:9000
CCTV-10科教,http://zhouzhiyong.x3322.net:4111/udp/239.76.253.160:9000
CCTV-11戏曲,http://zhouzhiyong.x3322.net:4111/udp/239.76.252.251:9000
CCTV-12社会与法,http://zhouzhiyong.x3322.net:4111/udp/239.76.253.162:9000
CCTV-13新闻,http://zhouzhiyong.x3322.net:4111/udp/239.76.253.93:9000
CCTV-13新闻,http://zhouzhiyong.x3322.net:4111/udp/239.76.251.84:9000
CCTV-14少儿,http://zhouzhiyong.x3322.net:4111/udp/239.76.253.164:9000
CCTV-15音乐,http://zhouzhiyong.x3322.net:4111/udp/239.76.252.252:9000
CCTV-16奥林匹克,http://zhouzhiyong.x3322.net:4111/udp/239.76.253.98:9000
CCTV-17农业农村,http://zhouzhiyong.x3322.net:4111/udp/239.76.252.238:9000
CCTV-16奥林匹克4K,http://zhouzhiyong.x3322.net:4111/udp/239.76.253.230:9000
CCTV-16奥林匹克4K,http://zhouzhiyong.x3322.net:4111/udp/239.76.254.200:9000
CCTV-4K超高清,http://zhouzhiyong.x3322.net:4111/udp/239.76.254.101:9000
CCTV-4K超高清,http://zhouzhiyong.x3322.net:4111/udp/239.76.254.64:9000
CHC家庭影院,http://zhouzhiyong.x3322.net:4111/udp/239.76.252.241:9000
CHC影迷电影,http://zhouzhiyong.x3322.net:4111/udp/239.76.252.242:9000
CHC动作电影,http://zhouzhiyong.x3322.net:4111/udp/239.76.252.243:9000
CCTV-第一剧场,http://zhouzhiyong.x3322.net:4111/udp/239.76.254.49:9000
CCTV-风云剧场,http://zhouzhiyong.x3322.net:4111/udp/239.76.254.50:9000
CCTV-怀旧剧场,http://zhouzhiyong.x3322.net:4111/udp/239.76.254.53:9000
CCTV-电视指南,http://zhouzhiyong.x3322.net:4111/udp/239.76.254.61:9000
CCTV-世界地理,http://zhouzhiyong.x3322.net:4111/udp/239.76.254.57:9000
CCTV-兵器科技,http://zhouzhiyong.x3322.net:4111/udp/239.76.254.59:9000
CCTV-央视台球,http://zhouzhiyong.x3322.net:4111/udp/239.76.254.58:9000
CCTV-文化精品,http://zhouzhiyong.x3322.neD（影视）:





央视2,#genre#


CCTV1,http://59.110.19.69:1222/1/migu4k8.php?id=608807420
CCTV2,http://59.110.19.69:1222/1/migu4k8.php?id=631780532
CCTV3,http://59.110.19.69:1222/1/migu4k8.php?id=624878271
CCTV4,http://59.110.19.69:1222/1/migu4k8.php?id=631780421
CCTV5,http://59.110.19.69:1222/1/migu4k8.php?id=641886683
CCTV5+,http://59.110.19.69:1222/1/migu4k8.php?id=641886773
CCTV6,http://59.110.19.69:1222/1/migu4k8.php?id=624878396
CCTV7,http://59.110.19.69:1222/1/migu4k8.php?id=673168121
CCTV8,http://59.110.19.69:1222/1/migu4k8.php?id=624878356
CCTV9,http://59.110.19.69:1222/1/migu4k8.php?id=673168140
CCTV10,http://59.110.19.69:1222/1/migu4k8.php?id=624878405
CCTV11,http://59.110.19.69:1222/1/migu4k8.php?id=667987558
CCTV12,http://59.110.19.69:1222/1/migu4k8.php?id=673168185
CCTV13,http://59.110.19.69:1222/1/migu4k8.php?id=608807423
CCTV14,http://59.110.19.69:1222/1/migu4k8.php?id=624878440
CCTV15,http://59.110.19.69:1222/1/migu4k8.php?id=673168223
CCTV17,http://59.110.19.69:1222/1/migu4k8.php?id=673168256
CCTV4欧洲,http://59.110.19.69:1222/1/migu4k8.php?id=608807419
CCTV4欧洲,http://103.79.187.196/zd/wytv818.php?id=CCTV4o&pid=1
CCTV4美洲,http://59.110.19.69:1222/1/migu4k8.php?id=608807416
CCTV4美洲,http://103.79.187.196/zd/wytv818.php?id=CCTV4m&pid=1
CGTN外语纪录,http://59.110.19.69:1222/1/migu4k8.php?id=609006487
CGTN阿拉伯语,http://59.110.19.69:1222/1/migu4k8.php?id=609154345
CGTN西班牙语,http://59.110.19.69:1222/1/migu4k8.php?id=609006450
CGTN法语,http://59.110.19.69:1222/1/migu4k8.php?id=609006476
CGTN俄语,http://59.110.19.69:1222/1/migu4k8.php?id=609006446
老故事,http://59.110.19.69:1222/1/migu4k8.php?id=884121956
发现之旅,http://59.110.19.69:1222/1/migu4k8.php?id=624878970
中学生,http://59.110.19.69:1222/1/migu4k8.php?id=708869532
CGTN,http://59.110.19.69:1222/1/migu4k8.php?id=609017205
大湾区卫视,http://59.110.19.69:1222/1/migu4k8.php?id=608917627
吉林卫视,http://59.110.19.69:1222/1/migu4k8.php?id=947472500
吉林卫视,http://103.79.187.196/zd/wytv818.php?id=jlws&pid=2
青海卫视,http://59.110.19.69:1222/1/migu4k8.php?id=947472506
青海卫视,http://103.79.187.196/zd/wytv818.php?id=qhws&pid=2
东南卫视,http://59.110.19.69:1222/1/migu4k8.php?id=849116810
东南卫视,http://103.79.187.196/zd/wytv818.php?id=dnws&pid=2
海峡卫视,http://59.110.19.69:1222/1/migu4k8.php?id=849119120
中国农林卫视,http://59.110.19.69:1222/1/migu4k8.php?id=956904896
上海新闻综合,http://59.110.19.69:1222/1/migu4k8.php?id=651632657
上海第一财经,http://59.110.19.69:1222/1/migu4k8.php?id=608780988
南京新闻综合频道,http://59.110.19.69:1222/1/migu4k8.php?id=838109047
南京教科频道,http://59.110.19.69:1222/1/migu4k8.php?id=838153729
南京十八频道,http://59.110.19.69:1222/1/migu4k8.php?id=838151753
体育休闲频道,http://59.110.19.69:1222/1/migu4k8.php?id=626064707
江苏城市频道,http://59.110.19.69:1222/1/migu4k8.php?id=626064714
江苏国际,http://59.110.19.69:1222/1/migu4k8.php?id=626064674
江苏教育,http://59.110.19.69:1222/1/migu4k8.php?id=628008321
江苏综艺频道,http://59.110.19.69:1222/1/migu4k8.php?id=626065193
公共新闻频道,http://59.110.19.69:1222/1/migu4k8.php?id=626064693
盐城新闻综合,http://59.110.19.69:1222/1/migu4k8.php?id=639731825
淮安新闻综合,http://59.110.19.69:1222/1/migu4k8.php?id=639731826
泰州新闻综合,http://59.110.19.69:1222/1/migu4k8.php?id=639731818
连云港新闻综合,http://59.110.19.69:1222/1/migu4k8.php?id=639731715
宿迁新闻综合,http://59.110.19.69:1222/1/migu4k8.php?id=639731832
徐州新闻综合,http://59.110.19.69:1222/1/migu4k8.php?id=639731747
优漫卡通频道,http://59.110.19.69:1222/1/migu4k8.php?id=626064703
江阴新闻综合,http://59.110.19.69:1222/1/migu4k8.php?id=955227979
南通新闻综合,http://59.110.19.69:1222/1/migu4k8.php?id=955227985
宜兴新闻综合,http://59.110.19.69:1222/1/migu4k8.php?id=955227996
溧水新闻综合,http://59.110.19.69:1222/1/migu4k8.php?id=639737327
陕西银龄频道,http://59.110.19.69:1222/1/migu4k8.php?id=956909362
陕西都市青春频道,http://59.110.19.69:1222/1/migu4k8.php?id=956909358
陕西体育休闲频道,http://59.110.19.69:1222/1/migu4k8.php?id=956909356
陕西秦腔频道,http://59.110.19.69:1222/1/migu4k8.php?id=956909303
陕西新闻资讯频道,http://59.110.19.69:1222/1/migu4k8.php?id=956909289
财富天下,http://59.110.19.69:1222/1/migu4k8.php?id=956923159
熊猫频道01高清,http://59.110.19.69:1222/1/migu4k8.php?id=609158151

CCTV1,http://47.112.170.56/migu720p.php?id=608807420
CCTV2,http://47.112.170.56/migu720p.php?id=631780532
CCTV3,http://47.112.170.56/migu720p.php?id=624878271
CCTV4,http://47.112.170.56/migu720p.php?id=631780421
CCTV5,http://47.112.170.56/migu720p.php?id=641886683
CCTV5+,http://47.112.170.56/migu720p.php?id=641886773
CCTV6,http://47.112.170.56/migu720p.php?id=624878396
CCTV7,http://47.112.170.56/migu720p.php?id=673168121
CCTV8,http://47.112.170.56/migu720p.php?id=624878356
CCTV9,http://47.112.170.56/migu720p.php?id=673168140
CCTV10,http://47.112.170.56/migu720p.php?id=624878405
CCTV11,http://47.112.170.56/migu720p.php?id=667987558
CCTV12,http://47.112.170.56/migu720p.php?id=673168185
CCTV13,http://47.112.170.56/migu720p.php?id=608807423
CCTV14,http://47.112.170.56/migu720p.php?id=624878440
CCTV15,http://47.112.170.56/migu720p.php?id=673168223
CCTV17,http://47.112.170.56/migu720p.php?id=673168256
老故事,http://47.112.170.56/migu720p.php?id=884121956
中学生,http://47.112.170.56/migu720p.php?id=708869532
东方卫视,http://47.112.170.56/migu720p.php?id=651632648
江苏卫视,http://47.112.170.56/migu720p.php?id=623899368
广东卫视,http://47.112.170.56/migu720p.php?id=608831231
江西卫视,http://47.112.170.56/migu720p.php?id=783847495
河南卫视,http://47.112.170.56/migu720p.php?id=790187291
陕西卫视,http://47.112.170.56/migu720p.php?id=738910838
大湾区卫视,http://47.112.170.56/migu720p.php?id=608917627
湖北卫视,http://47.112.170.56/migu720p.php?id=947472496
吉林卫视,http://47.112.170.56/migu720p.php?id=947472500
青海卫视,http://47.112.170.56/migu720p.php?id=947472506
东南卫视,http://47.112.170.56/migu720p.php?id=849116810
海南卫视,http://47.112.170.56/migu720p.php?id=947472502
海峡卫视,http://47.112.170.56/migu720p.php?id=849119120
中国农林卫视,http://47.112.170.56/migu720p.php?id=956904896
兵团卫视,http://47.112.170.56/migu720p.php?id=956923145
辽宁卫视,http://47.112.170.56/migu720p.php?id=630291707
上海新闻综合,http://47.112.170.56/migu720p.php?id=651632657
上视东方影视,http://47.112.170.56/migu720p.php?id=617290047
南京新闻综合频道,http://47.112.170.56/migu720p.php?id=838109047
南京教科频道,http://47.112.170.56/migu720p.php?id=838153729
南京十八频道,http://47.112.170.56/migu720p.php?id=838151753
江苏城市频道,http://47.112.170.56/migu720p.php?id=626064714
江苏国际,http://47.112.170.56/migu720p.php?id=626064674
江苏教育,http://47.112.170.56/migu720p.php?id=628008321
江苏影视频道,http://47.112.170.56/migu720p.php?id=626064697
江苏综艺频道,http://47.112.170.56/migu720p.php?id=626065193
公共新闻频道,http://47.112.170.56/migu720p.php?id=626064693
盐城新闻综合,http://47.112.170.56/migu720p.php?id=639731825
淮安新闻综合,http://47.112.170.56/migu720p.php?id=639731826
泰州新闻综合,http://47.112.170.56/migu720p.php?id=639731818
连云港新闻综合,http://47.112.170.56/migu720p.php?id=639731715
宿迁新闻综合,http://47.112.170.56/migu720p.php?id=639731832
徐州新闻综合,http://47.112.170.56/migu720p.php?id=639731747
优漫卡通频道,http://47.112.170.56/migu720p.php?id=626064703
江阴新闻综合,http://47.112.170.56/migu720p.php?id=955227979
南通新闻综合,http://47.112.170.56/migu720p.php?id=955227985
宜兴新闻综合,http://47.112.170.56/migu720p.php?id=955227996
溧水新闻综合,http://47.112.170.56/migu720p.php?id=639737327
陕西银龄频道,http://47.112.170.56/migu720p.php?id=956909362
陕西都市青春频道,http://47.112.170.56/migu720p.php?id=956909358
陕西体育休闲频道,http://47.112.170.56/migu720p.php?id=956909356
陕西秦腔频道,http://47.112.170.56/migu720p.php?id=956909303
陕西新闻资讯频道,http://47.112.170.56/migu720p.php?id=956909289
财富天下,http://47.112.170.56/migu720p.php?id=956923159
经典香港电影,http://47.112.170.56/migu720p.php?id=625703337
抗战经典影片,http://47.112.170.56/migu720p.php?id=617432318
新片放映厅,http://47.112.170.56/migu720p.php?id=619495952
CHC影迷电影,http://47.112.170.56/migu720p.php?id=952383261
轮播台,http://47.112.170.56/migu720p.php?id=713591450
高清大片,http://47.112.170.56/migu720p.php?id=629943678
南方影视,http://47.112.170.56/migu720p.php?id=614961829
抗日战争影像志,http://47.112.170.56/migu720p.php?id=713600957
CCTV1,http://49.87.32.189:1234/608807420
CCTV2,http://49.87.32.189:1234/631780532
CCTV3,http://49.87.32.189:1234/624878271
CCTV4,http://49.87.32.189:1234/631780421
CCTV5,http://49.87.32.189:1234/641886683
CCTV5+,http://49.87.32.189:1234/641886773
CCTV6,http://49.87.32.189:1234/624878396
CCTV7,http://49.87.32.189:1234/673168121
CCTV8,http://49.87.32.189:1234/624878356
CCTV9,http://49.87.32.189:1234/673168140
CCTV10,http://49.87.32.189:1234/624878405
CCTV11,http://49.87.32.189:1234/667987558
CCTV12,http://49.87.32.189:1234/673168185
CCTV13,http://49.87.32.189:1234/608807423
CCTV14,http://49.87.32.189:1234/624878440
CCTV15,http://49.87.32.189:1234/673168223
CCTV17,http://49.87.32.189:1234/673168256
经典香港电影,http://49.87.32.189:1234/625703337
抗战经典影片,http://49.87.32.189:1234/617432318
新片放映厅,http://49.87.32.189:1234/619495952
CHC影迷电影,http://49.87.32.189:1234/952383261
CHC动作电影,http://49.87.32.189:1234/644368714
CHC家庭影院,http://49.87.32.189:1234/644368373
和美乡途轮播台,http://49.87.32.189:1234/713591450
老故事,http://49.87.32.189:1234/884121956
发现之旅,http://49.87.32.189:1234/624878970
中学生,http://49.87.32.189:1234/708869532
CGTN,http://49.87.32.189:1234/609017205
赛事最经典,http://49.87.32.189:1234/646596895
体坛名栏汇,http://49.87.32.189:1234/629943305
四海钓鱼,http://49.87.32.189:1234/637444975
陕西体育,http://49.87.32.189:1234/956909356
武术世界,http://49.87.32.189:1234/958475359
快乐垂钓,http://49.87.32.189:1234/961930263
辽宁体育,http://49.87.32.189:1234/962067526
东方卫视,http://49.87.32.189:1234/651632648
江苏卫视,http://49.87.32.189:1234/623899368
广东卫视,http://49.87.32.189:1234/608831231
北京卫视,http://49.87.32.189:1234/630287636
辽宁卫视,http://49.87.32.189:1234/630291707
河北卫视,http://49.87.32.189:1234/962042070
江西卫视,http://49.87.32.189:1234/783847495
河南卫视,http://49.87.32.189:1234/790187291
陕西卫视,http://49.87.32.189:1234/738910838
大湾区卫视,http://49.87.32.189:1234/608917627
湖北卫视,http://49.87.32.189:1234/947472496
吉林卫视,http://49.87.32.189:1234/947472500
青海卫视,http://49.87.32.189:1234/947472506
东南卫视,http://49.87.32.189:1234/849116810
海南卫视,http://49.87.32.189:1234/947472502
海峡卫视,http://49.87.32.189:1234/849119120
农林卫视,http://49.87.32.189:1234/956904896
兵团卫视,http://49.87.32.189:1234/956923145
宁夏卫视,http://49.87.32.189:1234/738910535
重庆卫视,http://49.87.32.189:1234/738910914
三沙卫视,http://49.87.32.189:1234/961023778
上海新闻综合,http://49.87.32.189:1234/651632657
东方影视,http://49.87.32.189:1234/617290047
第1财经,http://49.87.32.189:1234/608780988
南京新闻综合,http://49.87.32.189:1234/838109047
南京教科,http://49.87.32.189:1234/838153729
南京十八生活,http://49.87.32.189:1234/838151753
体育休闲频道,http://49.87.32.189:1234/626064707
江苏城市,http://49.87.32.189:1234/626064714
江苏国际,http://49.87.32.189:1234/626064674
江苏教育,http://49.87.32.189:1234/628008321
江苏影视,http://49.87.32.189:1234/626064697
江苏综艺,http://49.87.32.189:1234/626065193
公共新闻频道,http://49.87.32.189:1234/626064693
盐城新闻综合,http://49.87.32.189:1234/639731825
淮安新闻综合,http://49.87.32.189:1234/639731826
泰州新闻综合,http://49.87.32.189:1234/639731818
连云港新闻综合,http://49.87.32.189:1234/639731715
宿迁新闻综合,http://49.87.32.189:1234/639731832
徐州新闻综合,http://49.87.32.189:1234/639731747
优漫卡通,http://49.87.32.189:1234/626064703
江阴新闻综合,http://49.87.32.189:1234/955227979
南通新闻综合,http://49.87.32.189:1234/955227985
宜兴新闻综合,http://49.87.32.189:1234/955227996
溧水新闻综合,http://49.87.32.189:1234/639737327
陕西银龄,http://49.87.32.189:1234/956909362
陕西都市青春,http://49.87.32.189:1234/956909358
陕西秦腔,http://49.87.32.189:1234/956909303
陕西新闻资讯,http://49.87.32.189:1234/956909289
财富天下,http://49.87.32.189:1234/956923159
镇江新闻综合,http://49.87.32.189:1234/639731783
辽宁公共,http://49.87.32.189:1234/962045223
辽宁生活,http://49.87.32.189:1234/962045226
辽宁影视,http://49.87.32.189:1234/962067517
宁夏旅游,http://49.87.32.189:1234/962067523
宁夏经济,http://49.87.32.189:1234/962067520
广东影视,http://49.87.32.189:1234/614961829
中国天气,http://49.87.32.189:1234/959986621
CETV1,http://49.87.32.189:1234/923287154
CETV2,http://49.87.32.189:1234/923287211
CETV4,http://49.87.32.189:1234/923287339
山东教育,http://49.87.32.189:1234/609154353
最强综艺趴,http://49.87.32.189:1234/629942228
嘉佳卡通,http://49.87.32.189:1234/614952364
经典动画大集合,http://49.87.32.189:1234/629942219
新动漫,http://49.87.32.189:1234/961930269
新动力量创一流,http://49.87.32.189:1234/713589837
中华特产,http://49.87.32.189:1234/959986618
环球旅游,http://49.87.32.189:1234/958475356
茶频道,http://49.87.32.189:1234/961930369
CCTV1,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=2026012222473138bd56035c614a35b919f2e9ea8de2b0&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260122224731&Channel_ID=0116_2600001300-99000-201600010012867&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=36.133.54.91&SecurityKey=20260122224731&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.1.1.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=f6b6fb9c81f732b95cbbdd12f906e66d
CCTV2,http://pull-hls-f1.douyincdn.com/media/stream-695106910011261612/playlist.m3u8?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-202601211138448FA9B998510F771A8747-9PrRHC&wsSecret=de5da072805f2c6d3fe8427464714c6f&wsTime=69704a44
CCTV2,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=202601222246306c030824e2bc44649911b8cfaa467a38&mdspid=&spid=699004&netType=4&sid=5500346945&pid=2028597139&timestamp=20260122224630&Channel_ID=0116_2600001300-99000-201600010012865&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=36.133.194.57&SecurityKey=20260122224630&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-9.1.1.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=82dd9834fdc5522610420f62014645e3
CCTV2,http://pull-flv-f1.douyincdn.com/media/stream-695106910011261612.flv?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-202601211138448FA9B998510F771A8747-9PrRHC&unique_id=stream-695106910011261612_684_flv&wsSecret=258653137fb1ed334218de18f528adaa&wsTime=69704a44
CCTV3,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=202601222245594b83cf9a9af3405d9eb47047cdfafbb5&mdspid=&spid=699004&netType=4&sid=5500212864&pid=2028597139&timestamp=20260122224559&Channel_ID=0116_2600001300-99000-201600010012864&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=36.133.195.17&SecurityKey=20260122224559&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-9.1.1.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=a20bd3b1703446f8932ba8e74b324dd4
CCTV4,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=202601222245299dbecf4290894359997db453a2935d40&mdspid=&spid=699004&netType=4&sid=5500346947&pid=2028597139&timestamp=20260122224529&Channel_ID=0116_2600001300-99000-201600010012863&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=36.133.49.245&SecurityKey=20260122224529&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-9.1.1.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=7801a0e58571ba09fee4669c3686c052
CCTV5,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=2026012222442771d4ff62436947dfb52a45b6db35d9b3&mdspid=&spid=699004&netType=4&sid=5500516171&pid=2028597139&timestamp=20260122224427&Channel_ID=0116_2600001300-99000-201600010012861&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=36.133.192.216&SecurityKey=20260122224427&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-9.1.1.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=43de926f4fb5c72c27c77fe500c08939
CCTV6,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=2026012222435621c0ed332c7f4253869e1169f76d729d&mdspid=&spid=699004&netType=4&sid=5500212872&pid=2028597139&timestamp=20260122224356&Channel_ID=0116_2600001300-99000-201600010012860&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=36.134.127.77&SecurityKey=20260122224356&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-9.1.1.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=18dd09c06d56f740d8bb7b03b55f5a82
